figura,ordem,categoria,serie,valor,proveniencia
grafico_6,5,Aprendizagem operacional,Organizacional,61,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,5,Aprendizagem operacional,Regulatória,38,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,5,Aprendizagem operacional,Evolutiva,35,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,6,Supervisão humana,Técnica,58,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,6,Supervisão humana,Interacional,29,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,6,Supervisão humana,Organizacional,66,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,6,Supervisão humana,Regulatória,37,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,6,Supervisão humana,Evolutiva,15,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,7,Governança do conhecimento,Técnica,41,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,7,Governança do conhecimento,Interacional,4,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,7,Governança do conhecimento,Organizacional,33,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,7,Governança do conhecimento,Regulatória,19,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,7,Governança do conhecimento,Evolutiva,13,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,8,Contestabilidade e reparo,Técnica,5,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,8,Contestabilidade e reparo,Interacional,2,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,8,Contestabilidade e reparo,Organizacional,4,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,8,Contestabilidade e reparo,Regulatória,1,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_6,8,Contestabilidade e reparo,Evolutiva,1,Artigo_v2_final pré-redesign; valor publicado preservado
